Date,Open,High,Low,Close,Adj Close,Volume
2019-09-30,118.250000,118.900002,117.800003,118.500000,118.500000,39
2019-10-01,118.400002,118.400002,117.300003,118.849998,118.849998,43
2019-10-02,118.500000,118.500000,117.650002,117.949997,117.949997,54
2019-10-03,117.900002,119.550003,117.349998,119.400002,119.400002,26
2019-10-04,117.800003,117.800003,116.150002,116.349998,116.349998,190
2019-10-06,null,null,null,null,null,null
2019-10-07,116.349998,116.349998,114.550003,114.750000,114.750000,44
2019-10-08,115.250000,115.349998,113.199997,113.300003,113.300003,204
2019-10-09,113.099998,113.650002,113.099998,113.199997,113.199997,83
2019-10-10,113.949997,113.949997,111.250000,111.449997,111.449997,14
2019-10-11,111.349998,111.349998,110.650002,111.699997,111.699997,77
2019-10-13,null,null,null,null,null,null
2019-10-14,112.599998,112.599998,112.599998,112.599998,112.599998,121
2019-10-15,112.000000,112.199997,111.650002,111.849998,111.849998,229
2019-10-16,111.000000,111.349998,109.699997,110.650002,110.650002,409
2019-10-17,110.650002,111.199997,110.000000,110.050003,110.050003,214
2019-10-18,110.000000,112.500000,110.000000,112.349998,112.349998,134
2019-10-20,null,null,null,null,null,null
2019-10-21,111.599998,111.750000,111.599998,112.550003,112.550003,161
2019-10-22,112.550003,114.800003,112.550003,115.000000,115.000000,28
2019-10-23,113.800003,115.000000,113.800003,114.199997,114.199997,81
2019-10-24,114.900002,114.900002,112.900002,113.300003,113.300003,62
2019-10-25,113.000000,115.500000,113.000000,115.750000,115.750000,151
2019-10-27,null,null,null,null,null,null
2019-10-28,115.150002,117.150002,115.000000,116.849998,116.849998,44
2019-10-29,117.199997,117.250000,116.750000,115.500000,115.500000,46
2019-10-30,115.699997,116.250000,114.050003,115.599998,115.599998,47
2019-10-31,117.750000,117.750000,117.699997,118.050003,118.050003,162
2019-11-01,117.500000,119.050003,117.500000,120.150002,120.150002,44
2019-11-03,null,null,null,null,null,null
2019-11-04,119.699997,120.400002,119.699997,120.250000,120.250000,57
2019-11-05,120.199997,122.500000,120.199997,122.449997,122.449997,66
2019-11-06,122.599998,124.199997,122.000000,124.349998,124.349998,112
2019-11-07,123.750000,125.400002,123.699997,125.300003,125.300003,154
2019-11-08,125.050003,125.750000,124.750000,125.449997,125.449997,457
2019-11-10,null,null,null,null,null,null
2019-11-11,124.050003,124.599998,122.199997,122.449997,122.449997,280
2019-11-12,122.949997,123.400002,121.599998,121.699997,121.699997,118
2019-11-13,123.199997,123.900002,122.300003,123.849998,123.849998,236
2019-11-14,124.750000,124.750000,122.650002,124.150002,124.150002,165
2019-11-15,122.150002,122.150002,122.150002,122.250000,122.250000,84
2019-11-17,null,null,null,null,null,null
2019-11-18,121.349998,122.250000,121.300003,121.900002,121.900002,33
2019-11-19,121.500000,122.050003,121.500000,118.949997,118.949997,30
2019-11-20,119.099998,123.099998,119.099998,123.199997,123.199997,31
2019-11-21,122.150002,128.600006,122.150002,128.550003,128.550003,41
2019-11-22,127.599998,128.250000,126.750000,127.800003,127.800003,263
2019-11-24,null,null,null,null,null,null
2019-11-25,127.250000,130.449997,126.900002,130.750000,130.750000,80
2019-11-26,130.100006,130.100006,127.750000,128.899994,128.899994,302
2019-11-27,128.600006,130.000000,128.399994,130.250000,130.250000,92
2019-11-29,null,null,null,null,null,null
2019-12-01,null,null,null,null,null,null
2019-12-02,129.800003,133.649994,129.250000,133.000000,133.000000,226
2019-12-03,133.000000,135.500000,132.949997,134.699997,134.699997,802
2019-12-04,134.750000,134.899994,132.500000,132.399994,132.399994,905
2019-12-05,132.550003,135.649994,132.550003,135.550003,135.550003,294
2019-12-06,135.050003,137.100006,134.699997,135.399994,135.399994,356
2019-12-08,null,null,null,null,null,null
2019-12-09,135.399994,142.149994,135.149994,138.850006,138.850006,361
2019-12-10,139.350006,144.649994,139.350006,143.800003,143.800003,509
2019-12-11,144.199997,146.949997,142.500000,146.050003,146.050003,880
2019-12-12,146.300003,149.000000,146.000000,147.750000,147.750000,588
2019-12-13,147.750000,150.149994,140.399994,141.500000,141.500000,934
2019-12-15,null,null,null,null,null,null
2019-12-16,141.449997,150.100006,141.449997,148.800003,148.800003,1169
2019-12-17,150.149994,150.649994,142.300003,144.149994,144.149994,745
2019-12-18,144.149994,144.850006,141.699997,143.899994,143.899994,356
2019-12-19,142.449997,142.449997,137.600006,138.250000,138.250000,217
2019-12-20,137.850006,141.850006,137.850006,141.699997,141.699997,259
2019-12-22,null,null,null,null,null,null
2019-12-23,141.199997,141.199997,136.000000,136.399994,136.399994,169
2019-12-24,null,null,null,null,null,null
2019-12-26,140.250000,140.449997,138.149994,138.250000,138.250000,214
2019-12-27,139.449997,143.500000,139.449997,143.550003,143.550003,63
2019-12-29,null,null,null,null,null,null
2019-12-30,142.949997,143.449997,141.500000,143.300003,143.300003,93
2019-12-31,140.399994,141.250000,140.399994,141.050003,141.050003,90
2020-01-02,139.550003,141.750000,138.699997,138.850006,138.850006,43
2020-01-03,139.350006,140.699997,138.800003,138.600006,138.600006,204
2020-01-05,null,null,null,null,null,null
2020-01-06,138.550003,138.750000,134.399994,134.699997,134.699997,260
2020-01-07,135.149994,135.399994,132.649994,134.949997,134.949997,117
2020-01-08,133.199997,133.199997,131.149994,131.750000,131.750000,258
2020-01-09,131.699997,131.750000,129.949997,130.100006,130.100006,302
2020-01-10,129.850006,131.649994,129.850006,131.750000,131.750000,274
2020-01-12,null,null,null,null,null,null
2020-01-13,128.250000,128.250000,127.099998,127.449997,127.449997,301
2020-01-14,126.699997,127.550003,126.699997,127.699997,127.699997,122
2020-01-15,127.349998,127.349998,127.250000,127.050003,127.050003,13
2020-01-16,127.349998,128.000000,125.500000,125.849998,125.849998,66
2020-01-17,125.099998,125.500000,124.650002,125.150002,125.150002,191
2020-01-19,null,null,null,null,null,null
2020-01-21,124.150002,126.000000,123.250000,124.449997,124.449997,171
2020-01-22,124.599998,125.300003,124.199997,124.199997,124.199997,315
2020-01-23,124.199997,126.500000,124.199997,125.650002,125.650002,40
2020-01-24,123.199997,123.699997,123.050003,123.349998,123.349998,25
2020-01-26,0.000000,0.000000,0.000000,123.349998,123.349998,0
2020-01-27,123.500000,123.500000,119.500000,119.849998,119.849998,80
2020-01-28,119.500000,119.849998,118.800003,118.750000,118.750000,570
2020-01-29,119.650002,119.650002,115.699997,115.800003,115.800003,670
2020-01-30,115.699997,116.949997,114.849998,115.199997,115.199997,303
