Date,Open,High,Low,Close,Adj Close,Volume
2018-06-04,14.290000,14.290000,14.290000,14.290000,14.290000,0
2018-06-05,14.460000,14.460000,14.460000,14.460000,14.460000,0
2018-06-06,14.310000,14.310000,14.310000,14.310000,14.310000,0
2018-06-07,14.200000,14.200000,14.200000,14.200000,14.200000,0
2018-06-08,14.400000,14.400000,14.300000,14.560000,14.560000,0
2018-06-10,null,null,null,null,null,null
2018-06-11,14.590000,14.590000,14.590000,14.590000,14.590000,2
2018-06-12,14.560000,14.560000,14.560000,14.560000,14.560000,0
2018-06-13,14.490000,14.490000,14.490000,14.490000,14.490000,0
2018-06-14,14.350000,14.350000,14.350000,14.350000,14.350000,0
2018-06-15,14.200000,14.200000,14.200000,14.210000,14.210000,0
2018-06-17,null,null,null,null,null,null
2018-06-18,14.200000,14.200000,14.200000,14.200000,14.200000,1
2018-06-19,14.180000,14.180000,14.180000,14.180000,14.180000,0
2018-06-20,14.160000,14.160000,14.160000,14.160000,14.160000,0
2018-06-21,14.320000,14.320000,14.320000,14.320000,14.320000,0
2018-06-22,14.400000,14.400000,14.400000,14.400000,14.400000,0
2018-06-24,null,null,null,null,null,null
2018-06-25,14.410000,14.410000,14.410000,14.410000,14.410000,0
2018-06-26,14.550000,14.550000,14.550000,14.550000,14.550000,0
2018-06-27,14.250000,14.250000,14.250000,14.250000,14.250000,0
2018-06-28,14.320000,14.320000,14.320000,14.320000,14.320000,0
2018-06-29,14.490000,14.490000,14.490000,14.490000,14.490000,0
2018-07-01,null,null,null,null,null,null
2018-07-02,14.100000,14.100000,14.100000,14.060000,14.060000,0
2018-07-03,null,null,null,null,null,null
2018-07-05,13.800000,13.800000,13.800000,13.870000,13.870000,2
2018-07-06,13.940000,13.940000,13.940000,13.940000,13.940000,7
2018-07-08,null,null,null,null,null,null
2018-07-09,13.900000,13.960000,13.900000,13.900000,13.900000,0
2018-07-10,13.900000,13.900000,13.900000,13.910000,13.910000,11
2018-07-11,13.900000,13.900000,13.900000,13.810000,13.810000,20
2018-07-12,13.800000,13.800000,13.700000,13.740000,13.740000,5
2018-07-13,13.700000,13.700000,13.700000,13.620000,13.620000,15
2018-07-15,null,null,null,null,null,null
2018-07-16,13.600000,13.600000,13.600000,13.740000,13.740000,30
2018-07-17,13.730000,13.730000,13.730000,13.730000,13.730000,10
2018-07-18,13.700000,13.700000,13.700000,13.700000,13.700000,0
2018-07-19,13.660000,13.660000,13.660000,13.660000,13.660000,0
2018-07-20,13.830000,13.830000,13.830000,13.830000,13.830000,0
2018-07-22,null,null,null,null,null,null
2018-07-23,13.800000,13.800000,13.800000,13.800000,13.800000,0
2018-07-24,13.900000,13.900000,13.900000,13.900000,13.900000,0
2018-07-25,14.040000,14.040000,14.040000,14.040000,14.040000,0
2018-07-26,13.960000,13.960000,13.960000,13.960000,13.960000,0
2018-07-27,13.870000,13.870000,13.870000,13.870000,13.870000,0
2018-07-29,null,null,null,null,null,null
2018-07-30,13.840000,13.840000,13.840000,13.840000,13.840000,0
2018-07-31,13.700000,13.700000,13.700000,13.700000,13.700000,0
2018-08-01,13.670000,13.670000,13.670000,13.590000,13.590000,0
2018-08-02,13.660000,13.660000,13.660000,13.660000,13.660000,1
2018-08-03,13.930000,13.930000,13.930000,13.930000,13.930000,0
2018-08-05,null,null,null,null,null,null
2018-08-06,13.960000,13.960000,13.960000,13.960000,13.960000,0
2018-08-07,14.030000,14.030000,14.030000,14.030000,14.030000,0
