"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 16, 2020","3,475.88","3,483.88","3,490.12","3,470.62","-","0.01%"
"Oct 15, 2020","3,475.50","3,479.25","3,486.50","3,431.50","1.65M","-0.16%"
"Oct 14, 2020","3,481.00","3,502.00","3,524.00","3,472.00","1.54M","-0.68%"
"Oct 13, 2020","3,504.75","3,534.00","3,535.75","3,491.50","1.62M","-0.79%"
"Oct 12, 2020","3,532.75","3,467.50","3,541.00","3,464.25","1.40M","1.71%"
"Oct 09, 2020","3,473.25","3,447.25","3,480.00","3,445.25","1.19M","1.04%"
"Oct 08, 2020","3,437.50","3,406.25","3,447.25","3,405.50","1.10M","0.90%"
"Oct 07, 2020","3,406.75","3,338.00","3,416.75","3,332.25","1.40M","1.60%"
"Oct 06, 2020","3,353.25","3,392.00","3,421.75","3,330.50","1.70M","-1.17%"
"Oct 05, 2020","3,393.00","3,360.00","3,400.00","3,346.50","1.08M","1.61%"
"Oct 02, 2020","3,339.25","3,367.00","3,375.50","3,300.25","2.03M","-0.85%"
"Oct 01, 2020","3,367.75","3,344.75","3,388.00","3,343.25","1.52M","0.47%"
"Sep 30, 2020","3,352.00","3,330.00","3,384.00","3,291.25","2.17M","0.55%"
"Sep 29, 2020","3,333.75","3,348.75","3,363.00","3,316.50","1.33M","-0.37%"
"Sep 28, 2020","3,346.00","3,291.00","3,351.25","3,287.50","1.50M","1.79%"
"Sep 25, 2020","3,287.25","3,243.50","3,296.25","3,206.50","1.70M","1.52%"
"Sep 24, 2020","3,238.00","3,228.00","3,268.25","3,198.00","2.28M","0.21%"
"Sep 23, 2020","3,231.25","3,303.75","3,319.75","3,221.00","1.98M","-2.06%"
"Sep 22, 2020","3,299.25","3,271.50","3,309.50","3,256.50","1.58M","0.74%"
"Sep 21, 2020","3,275.00","3,314.50","3,326.25","3,217.75","2.45M","-1.27%"
"Sep 18, 2020","3,317.00","3,347.88","3,363.12","3,281.12","-","-1.32%"
"Sep 17, 2020","3,361.50","3,392.75","3,396.50","3,320.50","384.92K","-0.83%"
"Sep 16, 2020","3,389.50","3,405.00","3,429.75","3,384.00","571.75K","-0.46%"
"Sep 15, 2020","3,405.25","3,379.50","3,419.00","3,376.00","874.37K","0.67%"
"Sep 14, 2020","3,382.50","3,350.00","3,402.75","3,345.50","1.38M","1.46%"
"Sep 11, 2020","3,333.75","3,345.25","3,375.00","3,308.75","1.88M","-0.20%"
"Sep 10, 2020","3,340.50","3,396.00","3,424.25","3,327.25","2.33M","-1.76%"
"Sep 09, 2020","3,400.25","3,315.25","3,424.00","3,295.50","2.01M","1.94%"
"Sep 08, 2020","3,335.50","3,420.50","3,447.00","3,327.50","2.73M","-3.03%"
"Sep 07, 2020","3,439.88","3,406.00","3,443.38","3,392.25","-","1.01%"
"Sep 06, 2020","3,405.38","3,414.75","3,421.25","3,382.00","-","-0.35%"
"Sep 04, 2020","3,417.50","3,454.75","3,484.25","3,347.75","2.99M","-1.27%"
"Sep 03, 2020","3,461.50","3,578.75","3,586.50","3,424.50","2.87M","-3.29%"
"Sep 02, 2020","3,579.25","3,529.00","3,587.00","3,526.25","1.85M","1.48%"
"Sep 01, 2020","3,527.00","3,493.25","3,530.00","3,484.25","1.28M","0.80%"
"Aug 31, 2020","3,499.00","3,508.50","3,524.50","3,490.00","1.44M","-0.16%"
"Aug 28, 2020","3,504.50","3,488.00","3,509.50","3,480.75","1.25M","0.55%"
"Aug 27, 2020","3,485.25","3,479.50","3,498.25","3,464.75","1.63M","0.14%"
"Aug 26, 2020","3,480.25","3,444.75","3,483.50","3,436.75","1.28M","1.08%"
"Aug 25, 2020","3,443.00","3,427.00","3,448.75","3,421.75","1.13M","0.45%"
