Date,Price,Open,High,Low,Change %
"Sep 11, 2020",5.3033,5.2925,5.3107,5.2597,-0.0033
"Sep 10, 2020",5.321,5.3095,5.3325,5.2681,0.0025
"Sep 09, 2020",5.3078,5.3615,5.362,5.2785,-0.0104
"Sep 08, 2020",5.3638,5.3608,5.4096,5.3156,0.0118
"Sep 04, 2020",5.3012,5.2901,5.3285,5.2465,0.0019
"Sep 03, 2020",5.2914,5.3408,5.3752,5.2722,-0.0092
"Sep 02, 2020",5.3403,5.3987,5.4309,5.3407,-0.0103
"Sep 01, 2020",5.396,5.4927,5.4927,5.3344,-0.0176
"Aug 31, 2020",5.4925,5.385,5.4949,5.385,0.0194
"Aug 28, 2020",5.3881,5.57,5.5702,5.3855,-0.0327
"Aug 27, 2020",5.57,5.6069,5.621,5.5452,-0.0063
"Aug 26, 2020",5.6054,5.509,5.6342,5.5089,0.0178
"Aug 25, 2020",5.5075,5.6112,5.6136,5.5049,-0.0183
"Aug 24, 2020",5.61,5.5773,5.6148,5.5589,-0.0016
"Aug 21, 2020",5.6192,5.5587,5.6332,5.5554,0.0112
"Aug 20, 2020",5.5568,5.5573,5.6733,5.5381,-0.0001
"Aug 19, 2020",5.5575,5.4674,5.5619,5.4345,0.0166
"Aug 18, 2020",5.4666,5.5098,5.5168,5.4206,-0.0078
"Aug 17, 2020",5.5095,5.441,5.5145,5.4112,0.0164
"Aug 14, 2020",5.4204,5.3699,5.4422,5.3573,0.0096
"Aug 13, 2020",5.369,5.4356,5.4362,5.349,-0.0118
"Aug 12, 2020",5.4333,5.3819,5.4925,5.3819,0.0099
"Aug 11, 2020",5.38,5.4809,5.4822,5.3716,-0.0185
"Aug 10, 2020",5.4812,5.4395,5.4907,5.3517,0.0078
"Aug 07, 2020",5.4387,5.3442,5.4394,5.3401,0.0199
"Aug 06, 2020",5.3327,5.2915,5.3721,5.2915,0.0078
"Aug 05, 2020",5.2916,5.2439,5.3204,5.2317,0.0001
"Aug 04, 2020",5.2912,5.3205,5.3775,5.2744,-0.0057
"Aug 03, 2020",5.3215,5.2223,5.3364,5.2115,0.0186
"Jul 31, 2020",5.2242,5.1541,5.2298,5.1531,0.0134
"Jul 30, 2020",5.1551,5.1705,5.2165,5.1435,-0.0028
"Jul 29, 2020",5.1695,5.1383,5.1845,5.1145,0.0031
"Jul 28, 2020",5.1536,5.1493,5.2045,5.1346,0.0015
"Jul 27, 2020",5.1457,5.2332,5.2332,5.141,-0.0168
"Jul 24, 2020",5.2334,5.2127,5.2533,5.1596,0.0041
"Jul 23, 2020",5.2119,5.1191,5.2262,5.1188,0.0184
"Jul 22, 2020",5.1178,5.1707,5.2028,5.0827,-0.0106
"Jul 21, 2020",5.1728,5.3291,5.3291,5.1647,-0.0293
"Jul 20, 2020",5.3291,5.387,5.3893,5.328,-0.0103
"Jul 17, 2020",5.3845,5.3243,5.3923,5.3155,0.01
"Jul 16, 2020",5.3313,5.3697,5.3928,5.3064,-0.0075
"Jul 15, 2020",5.3716,5.3096,5.391,5.2917,0.0006
"Jul 14, 2020",5.3684,5.4032,5.4542,5.3306,-0.0066
"Jul 13, 2020",5.4043,5.313,5.4098,5.3105,0.0151
"Jul 10, 2020",5.324,5.339,5.3946,5.3128,-0.0036
"Jul 09, 2020",5.3431,5.345,5.3788,5.245,-0.0001
"Jul 08, 2020",5.3438,5.384,5.3941,5.3178,-0.0066
"Jul 07, 2020",5.3793,5.3559,5.4017,5.288,0.0041
"Jul 06, 2020",5.3572,5.315,5.3592,5.2609,0.0077
"Jul 03, 2020",5.3161,5.3523,5.3807,5.3047,-0.0082
"Jul 02, 2020",5.3599,5.3185,5.3752,5.2656,0.0078
"Jul 01, 2020",5.3186,5.466,5.4763,5.2985,-0.0264
"Jun 30, 2020",5.463,5.4005,5.5075,5.4005,0.011
"Jun 29, 2020",5.4037,5.4847,5.4847,5.3892,-0.015
"Jun 26, 2020",5.4858,5.3608,5.4931,5.3608,0.0241
"Jun 25, 2020",5.3564,5.3476,5.3802,5.2663,0.0016
"Jun 24, 2020",5.3479,5.1525,5.3549,5.1525,0.0375
"Jun 23, 2020",5.1544,5.2524,5.2537,5.1336,-0.0189
"Jun 22, 2020",5.2537,5.2904,5.2968,5.1972,-0.011
"Jun 19, 2020",5.3122,5.378,5.3821,5.2881,-0.0122
"Jun 18, 2020",5.3779,5.2291,5.3884,5.2277,0.0285
"Jun 17, 2020",5.2288,5.2446,5.2716,5.1814,-0.003
"Jun 16, 2020",5.2445,5.1173,5.2549,5.0477,0.0172
"Jun 15, 2020",5.156,5.1314,5.226,5.0786,0.0206
"Jun 12, 2020",5.0518,4.9774,5.1118,4.9765,0.0151
"Jun 11, 2020",4.9765,4.974,4.9765,4.974,0.0004
"Jun 10, 2020",4.9745,4.9,4.9789,4.838,0.0152
"Jun 09, 2020",4.9002,4.8229,4.9359,4.8229,0.0159
"Jun 08, 2020",4.8235,4.9619,4.9774,4.8175,-0.0274
"Jun 05, 2020",4.9592,5.1186,5.1196,4.9328,-0.0314
"Jun 04, 2020",5.12,5.0624,5.1418,5.0244,0.0111
"Jun 03, 2020",5.0637,5.2007,5.2109,5.0159,-0.0265
"Jun 02, 2020",5.2017,5.3672,5.37,5.1989,-0.0304
"Jun 01, 2020",5.365,5.334,5.4196,5.31,0.0053
"May 29, 2020",5.337,5.4049,5.463,5.319,-0.0128
"May 28, 2020",5.406,5.2743,5.4113,5.2743,0.025
"May 27, 2020",5.2743,5.3418,5.361,5.2691,-0.0134
"May 26, 2020",5.346,5.4432,5.4432,5.334,-0.0185
"May 25, 2020",5.4467,5.4942,5.5301,5.4321,-0.0158
