"Date","Price","Open","High","Low","Change %"
"Sep 28, 2020","5.6627","5.5135","5.6760","5.5127","1.80%"
"Sep 25, 2020","5.5624","5.5097","5.5890","5.5097","0.97%"
"Sep 24, 2020","5.5089","5.5930","5.6243","5.4926","-1.53%"
"Sep 23, 2020","5.5943","5.4702","5.5991","5.4700","2.26%"
"Sep 22, 2020","5.4704","5.4146","5.4967","5.3828","1.06%"
"Sep 21, 2020","5.4131","5.4511","5.4979","5.3876","0.43%"
"Sep 18, 2020","5.3898","5.2397","5.3988","5.2391","2.87%"
"Sep 17, 2020","5.2394","5.2379","5.2924","5.2264","0.03%"
"Sep 16, 2020","5.2379","5.2765","5.2765","5.2127","-0.70%"
"Sep 15, 2020","5.2748","5.2698","5.3016","5.2192","0.08%"
"Sep 14, 2020","5.2706","5.3191","5.3235","5.2613","-0.91%"
"Sep 11, 2020","5.3189","5.3209","5.3495","5.2583","-0.04%"
"Sep 10, 2020","5.3210","5.3095","5.3325","5.2681","0.25%"
"Sep 09, 2020","5.3078","5.3615","5.3620","5.2785","-1.04%"
"Sep 08, 2020","5.3638","5.3608","5.4096","5.3156","1.18%"
"Sep 04, 2020","5.3012","5.2901","5.3285","5.2465","0.19%"
"Sep 03, 2020","5.2914","5.3408","5.3752","5.2722","-0.92%"
"Sep 02, 2020","5.3403","5.3987","5.4309","5.3407","-1.03%"
"Sep 01, 2020","5.3960","5.4927","5.4927","5.3344","-1.76%"
"Aug 31, 2020","5.4925","5.3850","5.4949","5.3850","1.94%"
"Aug 28, 2020","5.3881","5.5700","5.5702","5.3855","-3.27%"
"Aug 27, 2020","5.5700","5.6069","5.6210","5.5452","-0.63%"
"Aug 26, 2020","5.6054","5.5090","5.6342","5.5089","1.78%"
"Aug 25, 2020","5.5075","5.6112","5.6136","5.5049","-1.83%"
"Aug 24, 2020","5.6100","5.5773","5.6148","5.5589","-0.16%"
"Aug 21, 2020","5.6192","5.5587","5.6332","5.5554","1.12%"
"Aug 20, 2020","5.5568","5.5573","5.6733","5.5381","-0.01%"
"Aug 19, 2020","5.5575","5.4674","5.5619","5.4345","1.66%"
"Aug 18, 2020","5.4666","5.5098","5.5168","5.4206","-0.78%"
"Aug 17, 2020","5.5095","5.4410","5.5145","5.4112","1.64%"
"Aug 14, 2020","5.4204","5.3699","5.4422","5.3573","0.96%"
