Date,Open,High,Low,Close,Adj Close,Volume
2018-06-03,105.968750,105.976563,105.960938,105.960938,105.960938,63074
2018-06-04,106.116997,106.116997,106.030998,106.046997,106.046997,26542
2018-06-05,106.030998,106.116997,106.030998,106.085999,106.085999,23340
2018-06-06,106.085999,106.094002,106.030998,106.046997,106.046997,5409
2018-06-07,106.046997,106.171997,106.023003,106.070000,106.070000,4918
2018-06-08,106.116997,106.140999,106.070000,106.094002,106.094002,7760
2018-06-10,105.906250,105.906250,105.890625,105.890625,105.890625,30831
2018-06-11,106.078003,106.078003,106.046997,106.055000,106.055000,835
2018-06-12,106.055000,106.061996,106.015999,106.039001,106.039001,3038
2018-06-13,106.008003,106.055000,105.930000,105.953003,105.953003,5172
2018-06-14,105.953003,105.991997,105.953003,105.976997,105.976997,1705
2018-06-15,106.000000,106.039001,106.000000,106.008003,106.008003,3759
2018-06-17,105.828125,105.835938,105.820313,105.828125,105.828125,18093
2018-06-18,106.015999,106.030998,106.015999,106.015999,106.015999,793
2018-06-19,106.030998,106.094002,106.030998,106.030998,106.030998,1008
2018-06-20,106.015999,106.061996,106.008003,106.015999,106.015999,2044
2018-06-21,105.991997,106.046997,105.991997,106.046997,106.046997,991
2018-06-22,106.030998,106.061996,106.023003,106.030998,106.030998,1115
2018-06-24,105.867188,105.882813,105.867188,105.875000,105.875000,14836
2018-06-25,106.061996,106.078003,106.061996,106.078003,106.078003,524
2018-06-26,106.078003,106.085999,106.061996,106.070000,106.070000,1225
2018-06-27,106.078003,106.125000,106.070000,106.125000,106.125000,1038
2018-06-28,106.125000,106.140999,106.094002,106.101997,106.101997,950
2018-06-29,106.070000,106.070000,106.070000,106.070000,106.070000,297220
2018-07-01,105.906250,105.929688,105.906250,105.921875,105.921875,70144
2018-07-02,105.905998,105.960999,105.859001,105.875000,105.875000,259082
2018-07-03,null,null,null,null,null,null
2018-07-05,105.890999,105.905998,105.835999,105.844002,105.844002,333134
2018-07-06,105.866997,105.921997,105.851997,105.890999,105.890999,196752
2018-07-08,105.898438,105.898438,105.882813,105.890625,105.890625,21483
2018-07-09,105.898003,105.898003,105.835999,105.851997,105.851997,193274
2018-07-10,105.851997,105.859001,105.796997,105.796997,105.796997,249501
2018-07-11,105.844002,105.883003,105.796997,105.828003,105.828003,308431
2018-07-12,105.820000,105.835999,105.780998,105.796997,105.796997,263582
2018-07-13,105.811996,105.844002,105.796997,105.835999,105.835999,226230
2018-07-15,105.828125,105.828125,105.820313,105.828125,105.828125,2370
2018-07-16,105.828003,105.835999,105.765999,105.789001,105.789001,249875
2018-07-17,105.796997,105.805000,105.758003,105.765999,105.765999,156084
