Coffee Date,Coffee Price,coffee comm. Net_Position,cocoa comm. Net_Position,sugar comm. Net_Position,Coffee Vol.,Coffee Price Change%,Coffee Price Change% shifted,Coffee Price shifted
2007-09-09,118.04999999999998,-14411,-18245,48889,0.07K,3.78%,0.0098,113.75
2007-09-16,129.9,-24316,-20689,49606,55.66K,10.04%,0.0378,118.04999999999998
2007-09-23,128.65,-33116,-34086,-1325,55.17K,-0.96%,0.10039999999999999,129.9
2007-09-30,137.0,-37300,-40303,-4401,65.40K,6.49%,-0.0096,128.65
2007-10-07,139.3,-39887,-34276,-4319,67.35K,1.68%,0.0649,137.0
2007-10-14,125.0,-45642,-31260,-9547,79.18K,-10.27%,0.0168,139.3
2007-10-21,121.45000000000002,-44121,-29791,-17284,56.65K,-2.84%,-0.1027,125.0
2007-10-28,118.9,-38746,-32376,-27739,50.92K,-2.10%,-0.028399999999999998,121.45000000000002
2007-11-04,121.75,-35516,-39737,-24204,47.51K,2.40%,-0.021,118.9
2007-11-11,124.9,-35629,-38411,-1949,54.37K,2.59%,0.024,121.75
2007-11-18,123.44999999999999,-36289,-40855,14135,12.18K,-1.16%,0.0259,124.9
2007-11-25,125.95,-34295,-40467,34439,1.44K,2.03%,-0.0116,123.44999999999999
2007-12-02,127.75000000000001,-37592,-43258,18145,0.41K,1.43%,0.0203,125.95
2007-12-09,130.75,-38891,-45669,-23177,0.17K,2.35%,0.0143,127.75000000000001
2007-12-16,134.2,-40288,-49090,-57063,14.81K,2.64%,0.0235,130.75
2008-01-06,136.3,-40839,-54098,-107549,60.09K,2.71%,0.0264,134.2
2008-01-13,133.1,-39251,-58827,-110889,61.74K,-2.35%,0.0271,136.3
2008-01-20,131.45,-38557,-53023,-94043,52.31K,-1.24%,-0.0235,133.1
2008-01-27,139.1,-38023,-52931,-92665,70.29K,5.82%,-0.0124,131.45
2008-02-03,147.2,-50335,-57334,-102864,89.89K,5.82%,0.0582,139.1
2008-02-10,149.85,-56205,-56145,-127695,89.35K,1.80%,0.0582,147.2
2008-02-17,160.15,-55817,-54415,-137098,26.92K,6.87%,0.018000000000000002,149.85
2008-02-24,164.6,-54523,-48549,-142343,2.00K,2.78%,0.0687,160.15
2008-03-02,148.75,-53300,-45610,-139453,0.74K,-9.63%,0.0278,164.6
2008-03-09,150.05,-46458,-43161,-118522,0.19K,0.87%,-0.09630000000000001,148.75
2008-03-16,130.9,-33941,-36673,-93006,42.33K,-12.76%,0.0087,150.05
2008-03-23,130.4,-28145,-28619,-99742,49.73K,-0.38%,-0.1276,130.9
2008-03-30,131.9,-23511,-25336,-83871,63.61K,1.15%,-0.0038,130.4
2008-04-06,130.85,-22358,-26945,-83496,86.46K,-0.80%,0.0115,131.9
2008-04-13,135.25,-22141,-31234,-89805,49.77K,3.36%,-0.008,130.85
2008-04-20,130.45,-22716,-29573,-90727,17.59K,-3.55%,0.0336,135.25
2008-04-27,128.55,-19252,-30219,-88754,1.74K,-1.46%,-0.0355,130.45
