"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 19, 2020","107.18","101.58","109.25","99.08","32.83K","6.07%"
"Jul 12, 2020","101.05","97.03","102.50","96.33","-","5.10%"
"Jul 05, 2020","96.15","97.35","97.35","95.45","0.05K","-5.97%"
"Jun 28, 2020","102.25","100.45","102.80","98.45","0.03K","6.90%"
"Jun 21, 2020","95.65","94.05","97.55","93.45","0.39K","2.03%"
"Jun 14, 2020","93.75","94.20","97.05","92.70","78.09K","-1.52%"
"Jun 07, 2020","95.20","99.25","99.65","94.60","119.56K","-3.74%"
"May 31, 2020","98.90","95.85","100.75","94.80","92.38K","2.70%"
"May 24, 2020","96.30","104.65","107.10","95.85","84.16K","-7.05%"
"May 17, 2020","103.60","107.50","108.70","102.35","61.67K","-1.15%"
"May 10, 2020","104.80","108.20","108.20","103.65","0.07K","-4.81%"
"May 03, 2020","110.10","103.90","109.40","103.40","0.06K","5.41%"
"Apr 26, 2020","104.45","107.00","107.00","102.65","0.06K","-0.71%"
"Apr 19, 2020","105.20","116.30","116.75","105.00","14.96K","-9.35%"
"Apr 12, 2020","116.05","118.95","121.20","114.60","55.64K","-2.15%"
"Apr 05, 2020","118.60","114.85","122.00","112.40","84.27K","3.22%"
"Mar 29, 2020","114.90","116.20","120.85","114.10","78.15K","-0.82%"
"Mar 22, 2020","115.85","120.65","130.65","115.65","111.20K","-3.22%"
"Mar 15, 2020","119.70","107.05","120.05","102.80","24.90K","11.82%"
"Mar 08, 2020","107.05","103.70","114.45","103.70","0.19K","1.37%"
"Mar 01, 2020","105.60","112.75","120.75","105.60","0.32K","-4.09%"
"Feb 23, 2020","110.10","105.45","110.80","102.90","1.52K","1.15%"
"Feb 16, 2020","108.85","109.70","111.50","104.00","32.43K","-0.23%"
"Feb 09, 2020","109.10","98.55","109.40","98.05","156.57K","10.93%"
"Feb 02, 2020","98.35","102.00","102.30","97.40","147.84K","-4.19%"
"Jan 26, 2020","102.65","110.00","110.00","100.15","129.86K","-6.81%"
"Jan 19, 2020","110.15","111.50","113.70","109.75","97.48K","-1.78%"
"Jan 12, 2020","112.15","118.55","118.55","111.35","100.12K","-5.72%"
"Jan 05, 2020","118.95","126.25","126.55","116.50","114.60K","-5.86%"
"Dec 29, 2019","126.35","132.50","134.65","125.45","70.89K","-4.64%"
"Dec 22, 2019","132.50","130.40","132.80","124.90","72.09K","1.38%"
"Dec 15, 2019","130.70","135.85","135.85","126.20","49.52K","0.97%"
"Dec 08, 2019","129.45","128.25","138.40","128.25","0.15K","4.65%"
"Dec 01, 2019","123.70","118.00","126.15","118.00","0.18K","4.34%"
"Nov 24, 2019","118.55","114.45","118.00","114.45","0.11K","3.45%"
"Nov 17, 2019","114.60","105.55","115.75","102.50","39.04K","7.96%"
"Nov 10, 2019","106.15","108.30","109.55","104.80","122.58K","-3.02%"
"Nov 03, 2019","109.45","104.00","109.90","102.65","229.73K","5.24%"
"Oct 27, 2019","104.00","99.15","104.30","97.05","144.99K","4.58%"
"Oct 20, 2019","99.45","96.05","99.85","94.50","117.61K","3.92%"
"Oct 13, 2019","95.70","93.50","96.20","92.25","110.74K","2.13%"
"Oct 06, 2019","93.70","98.90","99.15","92.20","136.13K","-5.35%"
"Sep 29, 2019","99.00","100.50","102.90","98.50","97.17K","-1.88%"
"Sep 22, 2019","100.90","98.50","102.90","97.25","87.15K","2.54%"
"Sep 15, 2019","98.40","100.35","100.75","98.05","39.62K","-1.11%"
"Sep 08, 2019","99.50","101.15","101.15","101.15","0.00K","2.79%"
"Sep 01, 2019","96.80","95.23","97.45","94.23","-","3.42%"
"Aug 25, 2019","93.60","92.15","94.85","92.15","0.07K","1.08%"
"Aug 18, 2019","92.60","92.80","93.85","89.60","37.00K","-0.27%"
"Aug 11, 2019","92.85","97.20","97.25","92.60","105.67K","-4.57%"
"Aug 04, 2019","97.30","98.30","98.90","94.30","143.64K","-0.87%"
"Jul 28, 2019","98.15","99.75","102.45","96.40","117.97K","-1.60%"
"Jul 21, 2019","99.75","106.70","108.00","99.05","124.48K","-5.76%"
"Jul 14, 2019","105.85","105.30","105.30","105.30","0.01K","0.62%"
"Jul 07, 2019","105.20","113.05","113.05","105.50","0.03K","-3.88%"
"Jun 30, 2019","109.45","112.55","112.55","108.30","0.16K","1.11%"
"Jun 23, 2019","108.25","99.30","109.00","99.00","0.43K","8.47%"
"Jun 16, 2019","99.80","95.80","102.05","94.00","36.63K","3.96%"
"Jun 09, 2019","96.00","100.15","100.75","95.85","173.33K","-4.90%"
"Jun 02, 2019","100.95","104.85","106.15","97.90","230.37K","-3.49%"
"May 26, 2019","104.60","93.20","105.30","92.65","175.02K","12.11%"
"May 19, 2019","93.30","88.15","95.00","86.75","115.81K","6.81%"
"May 12, 2019","87.35","89.70","89.70","88.05","0.03K","-2.35%"
"May 05, 2019","89.45","87.65","88.85","87.00","0.04K","0.22%"
"Apr 28, 2019","89.25","91.75","93.85","89.60","0.17K","-3.72%"
"Apr 21, 2019","92.70","90.50","93.20","90.10","1.11K","2.77%"
"Apr 14, 2019","90.20","90.00","91.70","86.35","95.88K","-0.22%"
"Apr 07, 2019","90.40","93.20","94.85","89.35","207.34K","-3.00%"
"Mar 31, 2019","93.20","94.05","96.95","91.25","190.77K","-1.38%"
"Mar 24, 2019","94.50","93.65","96.40","92.60","125.35K","0.64%"
"Mar 17, 2019","93.90","96.60","96.80","93.65","61.85K","-0.74%"
"Mar 10, 2019","94.60","94.55","95.30","94.05","0.01K","-0.73%"
"Mar 03, 2019","95.30","96.50","96.50","94.50","0.03K","-1.70%"
"Feb 24, 2019","96.95","96.35","97.50","93.60","0.15K","0.52%"
"Feb 17, 2019","96.45","97.65","98.30","96.00","14.09K","-1.53%"
"Feb 10, 2019","97.95","102.60","102.70","97.05","136.70K","-4.53%"
"Feb 03, 2019","102.60","103.80","106.35","102.25","151.76K","-1.06%"
"Jan 27, 2019","103.70","105.65","107.00","101.55","119.46K","-2.90%"
"Jan 20, 2019","106.80","104.90","107.15","102.30","84.54K","1.76%"
"Jan 13, 2019","104.95","103.40","106.20","100.40","103.63K","1.06%"
"Jan 06, 2019","103.85","101.50","106.85","101.15","118.73K","2.21%"
"Dec 30, 2018","101.60","100.95","103.25","99.30","71.53K","0.64%"
"Dec 23, 2018","100.95","99.70","104.00","99.65","44.58K","1.25%"
"Dec 16, 2018","99.70","98.05","102.75","95.75","48.56K","2.84%"
"Dec 09, 2018","96.95","100.00","100.30","98.15","0.06K","-1.87%"
"Dec 02, 2018","98.80","102.05","102.70","100.00","0.13K","-4.31%"
"Nov 25, 2018","103.25","107.15","110.40","104.00","0.12K","-3.64%"
"Nov 18, 2018","107.15","111.90","113.00","106.70","11.52K","-4.84%"
"Nov 11, 2018","112.60","113.85","113.85","107.55","86.51K","-1.10%"
"Nov 04, 2018","113.85","119.25","119.30","113.10","177.12K","-5.16%"
"Oct 28, 2018","120.05","120.10","122.80","111.35","186.23K","0.33%"
"Oct 21, 2018","119.65","121.90","124.35","116.35","151.53K","-2.01%"
"Oct 14, 2018","122.10","116.90","125.50","116.80","190.71K","4.76%"
"Oct 07, 2018","116.55","110.60","116.80","109.75","170.77K","6.98%"
"Sep 30, 2018","108.95","102.15","110.80","101.10","160.66K","6.34%"
"Sep 23, 2018","102.45","99.70","103.45","96.55","95.18K","2.55%"
"Sep 16, 2018","99.90","95.10","100.75","93.50","65.27K","4.66%"
"Sep 09, 2018","95.45","97.30","97.80","95.25","0.02K","-3.39%"
"Sep 02, 2018","98.80","96.35","99.05","95.60","0.01K","0.71%"
"Aug 26, 2018","98.10","101.95","102.25","98.35","0.16K","-2.44%"
"Aug 19, 2018","100.55","101.20","101.75","95.45","41.24K","-0.64%"
"Aug 12, 2018","101.20","107.05","107.25","100.25","139.77K","-5.42%"
"Aug 05, 2018","107.00","107.65","110.25","106.40","182.00K","-0.70%"
"Jul 29, 2018","107.75","110.50","113.40","106.00","157.80K","-2.44%"
"Jul 22, 2018","110.45","111.05","113.20","108.70","100.67K","-0.18%"
"Jul 15, 2018","110.65","106.55","111.05","105.80","17.17K","3.36%"
"Jul 08, 2018","107.05","111.80","111.80","107.15","0.02K","-3.78%"
"Jul 01, 2018","111.25","108.45","109.75","106.20","0.15K","-0.22%"
"Jun 24, 2018","111.50","113.75","115.80","112.00","0.12K","-2.06%"
"Jun 17, 2018","113.85","115.40","115.80","112.00","34.97K","-1.17%"
"Jun 10, 2018","115.20","117.25","118.05","114.60","148.96K","-1.75%"
"Jun 03, 2018","117.25","122.55","123.15","115.65","188.29K","-4.48%"
"May 27, 2018","122.75","119.80","124.95","119.35","125.02K","1.95%"
"May 20, 2018","120.40","118.00","121.45","117.85","106.48K","5.66%"
"May 13, 2018","113.95","114.75","114.75","112.45","0.01K","-1.13%"
"May 06, 2018","115.25","119.55","119.55","115.10","0.04K","-4.32%"
"Apr 29, 2018","120.45","120.05","122.85","120.05","0.03K","0.08%"
"Apr 22, 2018","120.35","116.30","120.30","116.00","0.50K","3.97%"
"Apr 15, 2018","115.75","117.30","117.35","113.05","71.04K","-1.32%"
"Apr 08, 2018","117.30","117.85","119.45","116.50","183.79K","-0.13%"
"Apr 01, 2018","117.45","118.70","119.10","115.95","138.38K","-0.59%"
"Mar 25, 2018","118.15","117.20","119.75","116.65","70.21K","0.81%"
"Mar 18, 2018","117.20","119.20","120.75","116.50","67.86K","0.21%"
"Mar 11, 2018","116.95","120.00","120.10","117.25","0.03K","-1.60%"
"Mar 04, 2018","118.85","119.10","120.10","118.15","0.02K","-1.25%"
"Feb 25, 2018","120.35","119.50","122.00","119.50","0.09K","0.75%"
"Feb 18, 2018","119.45","117.75","121.00","116.50","1.41K","1.27%"
"Feb 11, 2018","117.95","121.75","123.40","117.65","101.00K","-3.20%"
"Feb 04, 2018","121.85","120.40","124.40","119.10","175.10K","1.20%"
"Jan 28, 2018","120.40","125.55","125.85","119.85","129.16K","-3.80%"
"Jan 21, 2018","125.15","121.65","125.50","120.50","104.80K","3.22%"
"Jan 14, 2018","121.25","121.80","123.90","119.60","93.66K","-0.82%"
"Jan 07, 2018","122.25","127.60","127.65","120.90","127.00K","-4.83%"
"Dec 31, 2017","128.45","126.00","131.35","126.00","109.99K","1.78%"
"Dec 24, 2017","126.20","120.75","126.55","120.65","53.29K","4.82%"
"Dec 17, 2017","120.40","121.90","124.05","119.50","58.14K","2.95%"
"Dec 10, 2017","116.95","121.00","121.00","116.90","0.03K","-3.03%"
"Dec 03, 2017","120.60","126.20","127.25","125.00","0.53K","-5.45%"
"Nov 26, 2017","127.55","125.25","130.30","124.85","0.16K","2.20%"
"Nov 19, 2017","124.80","122.50","126.60","121.15","12.64K","0.81%"
"Nov 12, 2017","123.80","127.50","129.00","123.55","92.14K","-2.94%"
"Nov 05, 2017","127.55","123.95","128.35","122.25","143.58K","2.90%"
"Oct 29, 2017","123.95","127.00","127.75","121.20","128.79K","-2.09%"
"Oct 22, 2017","126.60","125.10","127.50","122.85","80.03K","1.08%"
